,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
3005,005551.OF,汇安成长优选C,汇安基金,中国工商银行,混合型,20180213,,,20180115,,1.8108,1.5,0.25,,1.0,0.1,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20180315,20180315,O
3006,005550.OF,汇安成长优选A,汇安基金,中国工商银行,混合型,20180213,,,20180115,,0.3864,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20180315,20180315,O
3007,005504.OF,汇添富沪港深大盘价值,汇添富基金,中国工商银行,混合型,20180213,,,20180115,,40.5415,1.5,0.25,,1.0,0.001,,恒生指数收益率(使用估值汇率折算)*65%+中债综合财富指数收益率*20%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20180322,20180322,O
3008,005692.OF,广发中证全指工业ETF联接C,广发基金,中国银行,股票型,20180213,,,,,,0.5,0.1,,1.0,,,中证全指工业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180213,20180213,O
3009,005693.OF,广发中证军工ETF联接C,广发基金,中国工商银行,股票型,20180213,,,,,,0.5,0.1,,1.0,,,中证军工指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180213,20180213,O
3010,005330.OF,汇添富民安增益C,汇添富基金,中国民生银行,混合型,20180213,,,20171130,,1.3125,0.9,0.2,,1.0,0.001,,中债综合财富指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20190213,20190213,O
3011,005329.OF,汇添富民安增益A,汇添富基金,中国民生银行,混合型,20180213,,,20171130,,3.6567,0.9,0.2,,1.0,0.001,,中债综合财富指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20190213,20190213,O
3012,005526.OF,工银瑞信新生代消费,工银瑞信基金,中国农业银行,混合型,20180213,,,20180118,,17.7582,1.5,0.25,,1.0,0.001,,中债综合财富(总值)指数收益率*40%+中证全指主要消费指数收益率*30%+中证TMT产业主题指数收益率*30%,L,灵活配置型,契约型开放式,,20180226,20180226,O
3013,004790.OF,富荣中证500指数增强A,富荣基金,招商银行,股票型,20180213,,,20171114,,0.002,0.6,0.1,,1.0,0.0001,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180226,20180226,O
3016,004791.OF,富荣中证500指数增强C,富荣基金,招商银行,股票型,20180213,,,20171114,,2.02,0.6,0.1,,1.0,500.0,,中证500指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180226,20180226,O
3017,005545.OF,中银改革红利,中银基金,招商银行,混合型,20180213,,,20180112,,5.3638,1.5,0.25,,1.0,0.1,,沪深300指数收益率*50%+中债综合指数收益率*50%,L,灵活配置型,契约型开放式,,20180316,20180316,O
3018,005554.OF,南方恒生H股联接A,南方基金,中国工商银行,股票型,20180212,,,20180112,,0.5257,0.5,0.1,,1.0,0.1,,恒生中国企业指数(使用估值汇率折算)收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180315,20180315,O
3019,005555.OF,南方恒生H股联接C,南方基金,中国工商银行,股票型,20180212,,,20180112,,1.9593,0.5,0.1,,1.0,0.1,,恒生中国企业指数(使用估值汇率折算)收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180315,20180315,O
3020,005430.OF,渤海汇金睿选C,渤海汇金资管,中国工商银行,混合型,20180211,,,20180109,,1.4523,1.2,0.2,,1.0,0.1,,上证国债指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20180315,20180315,O
3022,005175.OF,国寿安保消费新蓝海,国寿安保基金,中国建设银行,混合型,20180211,,,20180111,,4.017,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中证全债指数收益率*40%,L,灵活配置型,契约型开放式,,20180402,20180402,O
3023,005621.OF,中欧品质消费C,中欧基金,中国工商银行,股票型,20180211,,,20180125,,0.0869,1.5,0.25,,1.0,0.001,,中证主要消费行业指数收益率*35%+中证可选消费行业指数收益率*35%+恒生指数收益率*15%+中证综合债券指数收益率*15%,L,股票型,契约型开放式,,20180312,20180312,O
3024,005067.OF,融通逆向策略,融通基金,中国工商银行,混合型,20180211,,,20180104,,4.2157,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,L,灵活配置型,契约型开放式,,20180312,20180312,O
3025,004687.OF,汇添富熙和精选A,汇添富基金,中国工商银行,混合型,20180211,,,20171108,,1.8706,0.6,0.1,,1.0,0.001,,中债综合指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20180511,20180511,O
3026,004688.OF,汇添富熙和精选C,汇添富基金,中国工商银行,混合型,20180211,,,20171108,,1.8134,0.6,0.1,,1.0,0.001,,中债综合指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20180511,20180511,O
3027,005620.OF,中欧品质消费A,中欧基金,中国工商银行,股票型,20180211,,,20180125,,1.327,1.5,0.25,,1.0,0.001,,中证主要消费行业指数收益率*35%+中证可选消费行业指数收益率*35%+恒生指数收益率*15%+中证综合债券指数收益率*15%,L,股票型,契约型开放式,,20180312,20180312,O
3030,005105.OF,富荣福康C,富荣基金,中国光大银行,混合型,20180211,,,20171207,,1.5901,1.5,0.15,,1.0,500.0,,沪深300指数收益率*70%+中证全债指数收益率*30%,L,混合型,契约型开放式,,20180305,20180305,O
3031,004788.OF,富荣沪深300增强A,富荣基金,招商银行,股票型,20180211,,,20171114,,0.0001,0.6,0.1,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180222,20180222,O
3032,005104.OF,富荣福康A,富荣基金,中国光大银行,混合型,20180211,,,20171207,,0.4462,1.5,0.15,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*30%,L,混合型,契约型开放式,,20180305,20180305,O
3034,004789.OF,富荣沪深300增强C,富荣基金,招商银行,股票型,20180211,,,20171114,,2.0112,0.6,0.1,,1.0,500.0,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180222,20180222,O
3035,005429.OF,渤海汇金睿选A,渤海汇金资管,中国工商银行,混合型,20180211,,,20180109,,1.4076,1.2,0.2,,1.0,0.1,,上证国债指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20180315,20180315,O
3038,004926.OF,中航军民融合精选A,中航基金,交通银行,混合型,20180209,,,20171229,,0.6333,1.0,0.1,,1.0,0.01,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20180312,20180312,O
3039,004927.OF,中航军民融合精选C,中航基金,交通银行,混合型,20180209,,,20171229,,2.2122,1.0,0.1,,1.0,0.01,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20180312,20180312,O
3040,005166.OF,嘉实润和量化,嘉实基金,中国建设银行,混合型,20180209,,,20180118,,6.9008,1.2,0.2,,1.0,0.0001,,中债总财富指数收益率*70%+中证500指数收益率*30%,L,混合型,契约型开放式,,20180809,20180809,O
3041,005676.OF,易方达标普消费品人民币C,易方达基金,中国银行,股票型,20180209,,,,,,1.2,0.35,,1.0,,,"标普全球高端消费品指数(净收益指数,使用估值汇率折算)",L,增强指数型,契约型开放式,,20180209,20180209,O
3042,005675.OF,易方达恒生H股ETF联接C人民币,易方达基金,交通银行,股票型,20180209,,,,,,0.6,0.2,,1.0,,,恒生中国企业指数(使用估值汇率折算)收益率*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180209,20180209,O
3043,004696.OF,东兴量化优享,东兴证券,兴业银行,混合型,20180209,,,20180115,,2.2591,0.7,0.1,,1.0,0.001,,中证800指数收益率*50%+中证综合债券指数收益率*50%,L,灵活配置型,契约型开放式,,20180312,20180312,O
3045,005188.OF,海富通量化前锋C,海富通基金,中国银行,股票型,20180208,,,20180108,,1.1253,1.5,0.25,,1.0,0.001,,中证500指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,,20180308,20180308,O
3046,005189.OF,海富通量化前锋A,海富通基金,中国银行,股票型,20180208,,,20180108,,2.1857,1.5,0.25,,1.0,0.001,,中证500指数收益率*80%+上证国债指数收益率*20%,L,股票型,契约型开放式,,20180308,20180308,O
3048,005558.OF,广发海外多元美元,广发基金,中国银行,混合型,20180208,,,20180115,,1.2368,1.6,0.25,,0.1579,0.001,,人民币计价的富时世界国债指数(FTSE World Government Bond Index)*60%+人民币计价的MSCI全球股票指数(MSCIWorldIndex)收益率*40%,L,混合型,契约型开放式,,20180409,20180409,O
3049,005557.OF,广发海外多元人民币,广发基金,中国银行,混合型,20180208,,,20180115,,1.201,1.6,0.25,,1.0,0.001,,人民币计价的富时世界国债指数(FTSE World Government Bond Index)*60%+人民币计价的MSCI全球股票指数(MSCIWorldIndex)收益率*40%,L,混合型,契约型开放式,,20180409,20180409,O
3050,005358.OF,东方阿尔法精选A,东方阿尔法基金,招商银行,混合型,20180208,,,20180123,,6.5114,1.5,0.25,,1.0,0.001,,沪深300指数收益率*40%+中证综合债券指数收益率*40%+恒生指数收益率*20%,L,灵活配置型,契约型开放式,,20180507,20180507,O
3051,005004.OF,交银施罗德品质升级,交银施罗德基金,中国农业银行,混合型,20180208,,,20180108,,23.2815,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+中证综合债券指数收益率*40%,L,混合型,契约型开放式,,20180320,20180320,O
3054,005359.OF,东方阿尔法精选C,东方阿尔法基金,招商银行,混合型,20180208,,,20180123,,5.1289,1.5,0.25,,1.0,0.001,,沪深300指数收益率*40%+中证综合债券指数收益率*40%+恒生指数收益率*20%,L,灵活配置型,契约型开放式,,20180507,20180507,O
3056,004738.OF,上投摩根安隆回报A,上投摩根基金,杭州银行,混合型,20180208,,,20171113,,1.8355,0.6,0.1,,1.0,0.01,,中证综合债券指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20180314,20180314,O
3057,005552.OF,国富新趋势A,国海富兰克林基金,中国工商银行,混合型,20180208,,,20180108,,0.4824,0.6,0.1,,1.0,0.001,,中债国债总指数收益率(全价)*50%+沪深300指数收益率*30%+恒生指数收益率*20%,L,灵活配置型,契约型开放式,,20180314,20180314,O
3058,004739.OF,上投摩根安隆回报C,上投摩根基金,杭州银行,混合型,20180208,,,20171113,,0.318,0.6,0.1,,1.0,0.01,,中证综合债券指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20180314,20180314,O
3059,005553.OF,国富新趋势C,国海富兰克林基金,中国工商银行,混合型,20180208,,,20180108,,1.6315,0.6,0.1,,1.0,0.001,,中债国债总指数收益率(全价)*50%+沪深300指数收益率*30%+恒生指数收益率*20%,L,灵活配置型,契约型开放式,,20180314,20180314,O
3060,001749.OF,招商中国机遇,招商基金,中国银行,股票型,20180208,,,20180112,,10.9817,1.5,0.25,,1.0,0.0001,,沪深300指数*80%+中证全债指数*20%,L,股票型,契约型开放式,,20180507,20180507,O
3062,005481.OF,银华瑞泰,银华基金,中国农业银行,混合型,20180208,,,20180108,,49.6171,1.5,0.25,,1.0,0.001,,中证全债指数收益率*50%+沪深300指数收益率*25%+恒生指数收益率*25%,L,灵活配置型,契约型开放式,,20180507,20180507,O
3063,004668.OF,建信鑫泽A,建信基金,宁波银行,混合型,20180207,,,20171103,,0.0064,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数(全价)收益率*50%,L,灵活配置型,契约型开放式,,20180226,20180226,O
3064,005295.OF,诺德天富,诺德基金,中国民生银行,混合型,20180207,,,20171101,,2.6561,0.6,0.1,,1.0,0.001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,,20180307,20180307,O
3065,005293.OF,诺德新旺,诺德基金,中信银行,混合型,20180207,,,20171106,,2.0734,0.6,0.1,,1.0,0.001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,灵活配置型,契约型开放式,,20180209,20180209,O
3066,005564.OF,创金合信国证1000C,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.0504,0.5,0.1,,1.0,0.001,,国证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3067,004669.OF,建信鑫泽C,建信基金,宁波银行,混合型,20180207,,,20171103,,2.006,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数(全价)收益率*50%,L,灵活配置型,契约型开放式,,20180226,20180226,O
3068,005566.OF,创金合信国证2000C,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.0504,0.5,0.1,,1.0,0.001,,国证2000指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3070,005312.OF,万家经济新动能C,万家基金,招商银行,混合型,20180207,,,20171122,,1.9859,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,20180308,20180308,O
3071,005565.OF,创金合信国证2000A,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.0502,0.5,0.1,,1.0,0.001,,国证2000指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3072,005311.OF,万家经济新动能A,万家基金,招商银行,混合型,20180207,,,20171122,,0.03,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,20180308,20180308,O
3076,005563.OF,创金合信国证1000A,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.053,0.5,0.1,,1.0,0.001,,国证1000指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3077,002649.OF,民生加银智造2025,民生加银基金,中国建设银行,混合型,20180207,,,20171117,,2.0467,0.6,0.15,,1.0,0.01,,沪深300指数收益率*60%+中证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20180308,20180308,O
3079,005568.OF,创金合信MSCI中国A股C,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.1242,0.5,0.1,,1.0,0.001,,MSCI中国A股国际指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3080,004760.OF,国寿安保稳瑞A,国寿安保基金,广发银行,混合型,20180207,,,20171115,,4.0006,0.6,0.1,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20180507,20180507,O
3081,005567.OF,创金合信MSCI中国A股A,创金合信基金,招商银行,股票型,20180207,,,20180109,,0.5596,0.5,0.1,,1.0,0.001,,MSCI中国A股国际指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180306,20180306,O
3082,004761.OF,国寿安保稳瑞C,国寿安保基金,广发银行,混合型,20180207,,,20171115,,0.0001,0.6,0.1,,1.0,0.001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20180507,20180507,O
3083,005478.OF,长安鑫禧C,长安基金,邮储银行,混合型,20180207,,,20180108,,0.3938,1.2,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合全价指数收益率*30%+恒生综合指数收益率*20%,L,灵活配置型,契约型开放式,,20180502,20180502,O
3084,005477.OF,长安鑫禧A,长安基金,邮储银行,混合型,20180207,,,20180108,,3.4978,1.2,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合全价指数收益率*30%+恒生综合指数收益率*20%,L,灵活配置型,契约型开放式,,20180502,20180502,O
3085,005460.OF,银河嘉谊C,银河基金,交通银行,混合型,20180206,,,20171221,,1.3553,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180222,20180222,O
3086,005386.OF,银河睿达A,银河基金,中国建设银行,混合型,20180206,,,20171226,,0.5845,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180213,20180213,O
3087,005457.OF,景顺长城量化小盘,景顺长城基金,中国建设银行,股票型,20180206,,,20180104,,17.8455,1.5,0.25,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,股票型,契约型开放式,,20180309,20180309,O
3088,004943.OF,格林伯元C,格林基金,兴业银行,混合型,20180206,,,20180103,,2.4106,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*50%,L,灵活配置型,契约型开放式,,20180309,20180309,O
3089,005382.OF,泰康睿利量化多策略C,泰康资产,中国农业银行,混合型,20180206,,,20180103,,,1.5,0.25,,1.0,0.1,,中证800指数收益率*80%+中债综合全价指数收益率*15%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20180316,20180316,O
3090,005381.OF,泰康睿利量化多策略A,泰康资产,中国农业银行,混合型,20180206,,,20180103,,5.9473,1.5,0.25,,1.0,0.1,,中证800指数收益率*80%+中债综合全价指数收益率*15%+金融机构人民币活期存款利率(税后)*5%,L,混合型,契约型开放式,,20180316,20180316,O
3091,005405.OF,中金金序量化蓝筹A,中金基金,中国建设银行,混合型,20180206,,,20171205,,1.1075,1.0,0.25,,1.0,0.01,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20180208,20180208,O
3093,004806.OF,长信先机两年,长信基金,中国工商银行,混合型,20180206,,,20171103,,2.0459,1.5,0.2,,1.0,0.0001,,中证综合债指数收益率*70%+中证500指数收益率*30%,L,灵活配置型,契约型开放式,,20200206,20200206,O
3094,005406.OF,中金金序量化蓝筹C,中金基金,中国建设银行,混合型,20180206,,,20171205,,0.923,1.0,0.25,,1.0,0.01,,沪深300指数收益率*75%+中债综合指数收益率*25%,L,混合型,契约型开放式,,20180208,20180208,O
3096,005397.OF,南方安养,南方基金,交通银行,混合型,20180206,,,20171130,,2.7883,1.0,0.2,,1.0,0.1,,上证国债指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20180320,20180320,O
3097,004942.OF,格林伯元A,格林基金,兴业银行,混合型,20180206,,,20180103,,0.1155,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*50%,L,灵活配置型,契约型开放式,,20180309,20180309,O
3098,005459.OF,银河嘉谊A,银河基金,交通银行,混合型,20180206,,,20171221,,1.0331,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180222,20180222,O
3099,005387.OF,银河睿达C,银河基金,中国建设银行,混合型,20180206,,,20171226,,2.2016,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180213,20180213,O
3100,005229.OF,嘉实富时中国A50ETF联接C,嘉实基金,中国银行,股票型,20180205,,,,,,0.5,0.1,,1.0,,,富时中国A50指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180205,20180205,O
3101,005658.OF,华夏沪深300ETF联接C,华夏基金,中国工商银行,股票型,20180202,,,,,,0.5,0.1,,1.0,,,"沪深300指数收益率*95%+1%(指年收益率,评价时应按期间折算)",L,被动指数型,契约型开放式,,20180202,20180206,O
3104,001562.OF,易方达瑞和,易方达基金,交通银行,混合型,20180202,,,20171103,,6.4045,0.6,0.1,,1.0,0.001,,一年期人民币定期存款利率(税后)+2%,L,灵活配置型,契约型开放式,,20180312,20180312,O
3107,005318.OF,万家瑞舜C,万家基金,上海银行,混合型,20180202,,,20171115,,0.8002,0.7,0.1,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20180316,20180316,O
3108,005317.OF,万家瑞舜A,万家基金,上海银行,混合型,20180202,,,20171115,,1.2,0.7,0.1,,1.0,0.001,,沪深300指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20180316,20180316,O
3111,005128.OF,华夏永康添福,华夏基金,中国农业银行,混合型,20180201,,,20180102,,12.7856,1.0,0.2,,1.0,0.001,,中债综合指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20180302,20180302,O
3112,005357.OF,富国国企改革灵活,富国基金,中国建设银行,混合型,20180201,,,20180102,,21.6284,1.5,0.25,,1.0,0.001,,中证国有企业改革指数收益率*60%+中债综合全价指数收益率*40%,L,灵活配置型,契约型开放式,,20180323,20180323,O
3113,005486.OF,平安量化精选A,平安基金,中国工商银行,混合型,20180201,,,20171225,,1.2224,1.5,0.25,,1.0,0.01,,沪深300指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,,20180402,20180402,O
3114,005299.OF,万家成长优选A,万家基金,兴业银行,混合型,20180201,,,20180103,,1.8102,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180403,20180403,O
3115,005300.OF,万家成长优选C,万家基金,兴业银行,混合型,20180201,,,20180103,,0.7485,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+上证国债指数收益率*50%,L,灵活配置型,契约型开放式,,20180403,20180403,O
3116,005224.OF,广发中证基建工程C,广发基金,交通银行,股票型,20180201,,,20180115,,1.4998,0.5,0.1,,1.0,0.001,,中证基建工程指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180222,20180222,O
3117,005223.OF,广发中证基建工程A,广发基金,交通银行,股票型,20180201,,,20180115,,1.3416,0.5,0.1,,1.0,0.001,,中证基建工程指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20180222,20180222,O
3118,005042.OF,人保研究精选C,人保资产,中国建设银行,混合型,20180201,,,20180103,,1.4972,1.5,0.2,,1.0,0.001,,沪深300指数收益率*75%+中债综合(全价)指数收益率*25%,L,混合型,契约型开放式,,20180316,20180316,O
3119,005443.OF,国金量化多策略,国金基金,中国光大银行,混合型,20180201,,,20180108,,4.2549,1.5,0.25,,1.0,0.01,,沪深300指数收益率*60%+中证全债指数收益率*40%,L,灵活配置型,契约型开放式,,20180417,20180417,O
3120,005502.OF,华泰紫金智能量化,华泰证券资管,中国银行,股票型,20180201,,,20180108,,3.4307,1.5,0.25,,1.0,0.1,,中证800指数收益率*90%+上证国债指数收益率*10%,L,股票型,契约型开放式,,20180222,20180222,O
3121,005041.OF,人保研究精选A,人保资产,中国建设银行,混合型,20180201,,,20180103,,0.9863,1.5,0.2,,1.0,0.001,,沪深300指数收益率*75%+中债综合(全价)指数收益率*25%,L,混合型,契约型开放式,,20180316,20180316,O
3122,004917.OF,中银证券祥瑞A,中银证券,浦发银行,混合型,20180201,,,20171218,,0.6703,0.6,0.1,,1.0,0.001,,中证800指数收益率*50%+中债综合全价指数收益率*45%+同期银行活期存款利率(税后)*5%,L,灵活配置型,契约型开放式,,20180306,20180306,O
3124,005612.OF,嘉实核心优势,嘉实基金,中国银行,股票型,20180201,,,20180129,,89.1225,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+恒生指数收益率*20%+中债综合财富指数收益率*10%,L,股票型,契约型开放式,,20180425,20180425,O
3127,005487.OF,平安量化精选C,平安基金,中国工商银行,混合型,20180201,,,20171225,,1.168,1.5,0.25,,1.0,0.01,,沪深300指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,,20180402,20180402,O
3128,004918.OF,中银证券祥瑞C,中银证券,浦发银行,混合型,20180201,,,20171218,,3.2879,0.6,0.1,,1.0,0.001,,中证800指数收益率*50%+中债综合全价指数收益率*45%+同期银行活期存款利率(税后)*5%,L,灵活配置型,契约型开放式,,20180306,20180306,O
3129,005549.OF,富国成长优选三年定开,富国基金,中国工商银行,混合型,20180131,,,20180123,,26.153,1.5,0.25,,1.0,0.001,,中证800指数收益率*50%+中债综合全价指数收益率*50%,L,灵活配置型,契约型开放式,,,,O
3131,005313.OF,万家中证1000指数增强A,万家基金,招商银行,股票型,20180130,,,20171122,,0.0272,1.0,0.2,,1.0,0.001,,中证1000指数收益率*95%+一年期人民币定期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180302,20180302,O
3132,005314.OF,万家中证1000指数增强C,万家基金,招商银行,股票型,20180130,,,20171122,,2.1143,1.0,0.2,,1.0,0.001,,中证1000指数收益率*95%+一年期人民币定期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20180302,20180302,O
3133,001442.OF,易方达瑞信E,易方达基金,中信银行,混合型,20180130,,,20171122,,0.108,0.6,0.1,,1.0,0.001,,一年期人民币定期存款利率(税后)+2%,L,灵活配置型,契约型开放式,,20180323,20180323,O
3134,001441.OF,易方达瑞信I,易方达基金,中信银行,混合型,20180130,,,20171122,,3.676,0.6,0.1,,1.0,0.001,,一年期人民币定期存款利率(税后)+2%,L,灵活配置型,契约型开放式,,20180323,20180323,O
